Episode,TotalSteps,Score
203,25029,-132.82225444369845
204,25084,-123.39912889934672
205,25167,-141.75285968993117
206,25228,-128.45674986903086
207,25312,-132.79987921481225
208,25367,-126.23889731234023
209,25432,-132.01253869488846
210,25518,-129.3759348703278
211,25577,-133.7674818146976
212,25656,-134.2412510130612
213,25737,-128.88341529625407
214,25805,-125.75219797978998
215,25879,-132.12816093707863
216,25958,-129.61829566656277
217,26028,-133.84266934949522
218,26099,-130.55399889996076
219,26184,-133.07262285568314
220,26259,-140.17844780313382
221,26328,-126.00606238960614
222,26397,-128.95292315080576
223,26447,-129.72620829573378
224,26513,-132.54293233813158
225,26596,-137.96351891263217
226,26681,-128.86857600831917
227,26740,-135.14569049554194
228,26804,-133.76693078430776
